data_ref_corpus_2025,data_ref_pascoa_2026,data_ref_maio_2026,data_atual,dia_da_semana,antecedencia,rota_principal,sentido,tipo_assento,turno,buscas_corpus_2025,buscas_pascoa_2026,buscas_maio_2026,buscas_corpus_2026,pax_atual,capacidade_atual,vagas_restantes,ocupacao_atual,lf_corpus_2025,lf_pascoa_2026,lf_maio_2026,lf_atual,ratio_lf_corpus_2025,ratio_lf_pascoa_2026,ratio_lf_maio_2026,price_cc,tkm_corpus_2025,tkm_pascoa_2026,tkm_maio_2026,tkm_atual,mult_atual_aplicado,data_atualizacao,preco_cenario_atual,mult_flutuacao,preco_flutuacao,preco_maximo_feriado
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,CMP-SAO,CMP-SAO,semi leito,MADRUGADA,212.0,299.0,303.0,152.0,8.0,47.0,39.0,0.1702,0.3379,0.2065,0.2875,0.1161,0.3434,0.5619,0.4036,55.30166666666665,23.68,23.44,25.23,18.9,1.0,,27.9,1.0,27.9,41.8
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,RAO-SAO,RAO-SAO,semi leito,MADRUGADA,615.0,699.0,813.0,403.0,19.0,53.0,34.0,0.3585,0.2546,0.2696,0.4944,0.2545,0.9998,0.944,0.5148,151.845,,65.38,77.45,68.22,1.0,,77.9,1.05,81.8,148.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,RAO-SAO,SAO-RAO,semi leito,MADRUGADA,528.0,775.0,625.0,341.0,,,,0.0,0.232,0.3047,0.4246,0.2527,1.0893,0.8294,0.5952,160.5825,,65.38,77.45,,1.018138888888889,,79.9,1.2584,100.55,148.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,BHZ-DTI,DTI-BHZ,semi leito,MANHA,136.0,175.0,90.0,81.0,3.0,46.0,43.0,0.0652,0.2938,0.0,0.2429,0.0474,0.1614,,0.1952,150.17000000000002,48.745000000000005,,67.36,46.23,1.0,,79.9,0.95,75.91,189.44
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,BHZ-IPA,BHZ-IPA,semi leito,MANHA,159.0,437.0,243.0,163.0,5.0,42.0,37.0,0.119,0.3674,0.1979,0.0762,0.0863,0.2349,0.4361,1.1331,133.73199999999997,59.875,87.655,62.28,47.3,1.0634117647058823,,73.9,1.0,73.9,154.7
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,BHZ-IPA,IPA-BHZ,semi leito,MANHA,168.0,233.0,453.0,135.0,3.0,42.0,39.0,0.0714,0.3352,0.4931,0.4153,0.0636,0.1897,0.129,0.1531,129.79999999999998,59.875,87.655,62.28,58.9,1.3017,2026-05-20 21:04:34.213813,100.9,0.9000243155859375,90.81,154.7
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,BHZ-MCL,BHZ-MCL,semi leito,MANHA,291.0,967.0,401.0,261.0,4.0,64.0,60.0,0.0625,0.2343,0.2083,0.2321,0.0587,0.2503,0.2816,0.2527,188.81999999999996,69.72,110.535,88.27000000000001,85.4,1.3255,2026-05-20 21:04:34.213813,115.9,0.95,110.11,189.9
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,BHZ-MCL,MCL-BHZ,semi leito,MANHA,288.0,684.0,313.0,226.0,13.0,64.0,51.0,0.2031,0.1591,0.297,0.1167,0.2014,1.2659,0.6781,1.7262,193.208,69.72,110.535,88.27000000000001,88.9,1.0806,2026-05-20 21:04:34.213813,93.9,1.13,106.11,189.9
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,BHZ-RIO,BHZ-RIO,semi leito,MANHA,1666.0,4740.0,2990.0,1381.0,20.0,60.0,40.0,0.3333,0.5038,0.6619,0.5549,0.3143,0.6238,0.4748,0.5664,135.70428571428567,92.36,134.46,130.72,105.05,1.1877,2026-05-20 21:04:34.213813,107.9,1.1548687499999999,124.61,305.52
2025-06-17,2026-04-01,2026-04-29,2026-06-02,3,5,BHZ-RIO,RIO-BHZ,semi leito,MANHA,921.0,1369.0,1078.0,837.0,19.0,60.0,41.0,0.3167,0.3493,0.5286,0.3903,0.2901,0.8305,0.5488,0.7434,137.6823076923077,92.36,134.46,130.72,95.37,1.146,2026-05-20 21:04:34.213813,115.9,0.9974999999999999,115.61,305.52
