data_ref_julho_2025,data_atual,dia_da_semana,antecedencia,rota_principal,sentido,tipo_assento,turno,buscas_julho_2025,buscas_julho_2026,pax_atual,capacidade_atual,vagas_restantes,ocupacao_atual,lf_julho_2025,lf_atual,ratio_lf_julho_2025,price_cc,tkm_julho_2025,tkm_atual,mult_atual_aplicado,data_atualizacao,preco_cenario_atual,mult_flutuacao,preco_flutuacao,preco_maximo_feriado
2025-07-06,2026-07-05,1,26,MCL-SAO,SAO-MCL,semi leito,TARDE,77,225,33,64,31,0.5156,0.0847,0.38,4.4886,362.4755555555555,164.16999999999993,163.08,1.0512094972067039,,191.9,1.3106584796484375,251.52,413.6
2025-07-09,2026-07-08,4,29,CMP-RIO,CMP-RIO,semi leito,NOITE,56,259,35,60,25,0.5833,0.1314,0.5685,4.3249,171.42749999999992,89.87886363636368,122.1,1.2215401785714306,,104.9,1.5357149596784814,161.1,251.5
2025-07-10,2026-07-09,5,30,BAT-SAO,BAT-SAO,semi leito,MANHA,29,37,26,45,19,0.5778,0.1332,0.5221,3.9203,199.275,125.22099999999999,149.78,1.343605194805196,,166.9,1.3225,220.73,252.3
2025-07-11,2026-07-10,6,31,SAO-VIX,VIX-SAO,semi leito,TARDE,265,334,35,56,21,0.625,0.0971,0.393,4.0466,255.11928571428575,162.3802380952381,148.59,1.0888555555555557,,188.9,1.2589027349632256,237.81,704.45
2025-07-16,2026-07-15,4,36,BHZ-GYN,BHZ-GYN,semi leito,NOITE,34,93,33,60,27,0.55,0.1397,0.4809,3.4432,297.065,153.51409090909095,172.54,1.3453788661165855,,142.9,1.43,204.35,368.34
2025-07-18,2026-07-17,6,38,BHZ-CAB,BHZ-CAB,semi leito,NOITE,1271,1109,136,194,58,0.701,0.2288,0.7018,3.0671,359.9,150.28750000000002,148.55,1.3543516553067207,,215.9,1.4174999999999998,306.04,496.32
2025-07-18,2026-07-17,6,38,BHZ-GYN,BHZ-GYN,semi leito,NOITE,99,169,44,60,16,0.7333,0.1213,0.6454,5.3215,,153.51409090909095,173.08,1.3331049122266678,,149.9,1.6275000000000002,243.96,368.34
2025-07-18,2026-07-17,6,38,BHZ-VIX,BHZ-VIX,semi leito,NOITE,394,315,103,165,62,0.6242,0.1963,0.4366,2.2241,148.57363636363635,124.00750000000004,141.41,1.3387666666666656,,155.9,1.206975,188.17,436.02
2025-07-19,2026-07-18,7,39,BHZ-VIX,BHZ-VIX,semi leito,NOITE,169,223,47,89,42,0.5281,0.1926,0.3643,1.8913,175.09736842105264,124.00750000000004,115.22,1.6562716535433073,,173.9,1.2075,209.98,436.02
2025-07-19,2026-07-18,7,39,BHZ-VIX,VIX-BHZ,semi leito,NOITE,115,131,38,60,22,0.6333,0.1704,0.3437,2.017,151.11333333333332,124.00750000000004,109.19,1.0865041666666668,,125.9,1.1548687499999999,145.4,436.02
2025-07-21,2026-07-20,2,41,CAB-SAO,CAB-SAO,semi leito,NOITE,71,55,46,88,42,0.5227,0.1184,0.3384,2.8589,235.152,132.373488372093,139.25,1.2514784676663526,,162.9,1.15,187.33,450.06
2025-07-22,2026-07-21,3,42,BHZ-CAB,CAB-BHZ,semi leito,NOITE,338,343,89,164,75,0.5427,0.1519,0.5338,3.5131,202.52500000000003,150.28750000000002,178.15,1.293117788461533,,195.9,1.2584010624609374,246.52,496.32
2025-07-24,2026-07-23,5,44,BHZ-GYN,GYN-BHZ,semi leito,NOITE,28,45,33,60,27,0.55,0.1092,0.4718,4.3213,,153.51409090909095,191.72,1.1548122549019584,,129.9,1.478125,192.01,368.34
2025-07-26,2026-07-25,7,46,BHZ-VIX,VIX-BHZ,semi leito,NOITE,97,103,26,44,18,0.5909,0.1444,0.3522,2.4388,198.49875,124.00750000000004,128.09,1.3413305466237964,,155.9,1.1548687499999999,180.04,436.02
2025-07-27,2026-07-26,1,47,ANG-BHZ,ANG-BHZ,semi leito,NOITE,40,40,27,43,16,0.6279,0.1513,0.6279,4.1492,,178.13,268.86,1.2687763703703723,,246.9,1.61,397.51,397.6
2025-07-27,2026-07-26,1,47,BHZ-GYN,GYN-BHZ,semi leito,NOITE,37,55,30,60,30,0.5,0.0137,0.4218,30.8677,,173.59,229.37,1.3585351909184766,,165.9,1.3622918400000001,226.0,368.34
2025-07-28,2026-07-27,2,48,BHZ-GYN,GYN-BHZ,semi leito,NOITE,56,52,30,60,30,0.5,0.1608,0.4489,2.7925,,154.58692307692309,166.7,1.2498338235294115,,126.9,1.3622918400000001,172.87,368.34
2025-08-02,2026-08-01,7,53,BHZ-VIX,VIX-BHZ,semi leito,NOITE,30,40,42,60,18,0.7,0.1663,0.3779,2.2733,198.49875,123.595,105.54,1.2039178921568623,,139.9,1.2075,168.93,436.02
